latitude,longitude,locality,region,country
48.2,16.28,Vienna,Vienna,Austria
49.25,8.53,Waghäusel,Baden-Württemberg,Germany
51.53,6.97,Bottrop,North Rhine-Westphalia,Germany
40.43,-3.69,Madrid,Community of Madrid,Spain
43.31,-1.98,San Sebastián,Autonomous Community of the Basque Country,Spain
35.17,-78.9,NA,North Carolina,United States
52.11,11.6,Magdeburg,Saxony-Anhalt,Germany
49.27,7.03,Saarbrücken,Saarland,Germany
44.83,1.25,Vitrac,Nouvelle-Aquitaine,France
51.08,6.88,Monheim am Rhein,North Rhine-Westphalia,Germany
51.92,4.36,Vlaardingen,South Holland,Netherlands
59.42,24.85,Tallinn,Harju County,Estonia
50.02,11.52,Waldau,Bavaria,Germany
52.15,9.95,Hildesheim,Lower Saxony,Germany
50.85,4.4,Schaerbeek - Schaarbeek,Brussels-Capital,Belgium
50.7,7.26,Königswinter,North Rhine-Westphalia,Germany
50.42,7.02,Herschbach,Rhineland-Palatinate,Germany
52.61,10.07,Celle,Lower Saxony,Germany
51.21,6.84,Dusseldorf,North Rhine-Westphalia,Germany
51.2,6.7,Neuss,North Rhine-Westphalia,Germany
53.23,6.58,Groningen,Groningen,Netherlands
53.7,9.7,Heidgraben,Schleswig-Holstein,Germany
52.54,13.43,Berlin,Berlin,Germany
49.58,10.99,Erlangen,Bavaria,Germany
52.63,10.11,Altenhagen,Lower Saxony,Germany
50.13,8.57,Eschborn,Hesse,Germany
49.46,11.11,Nuremberg,Bavaria,Germany
49.22,8.36,Sondernheim,Rhineland-Palatinate,Germany
48.37,11.38,Markt Indersdorf,Bavaria,Germany
52.2,11.61,Barleben,Saxony-Anhalt,Germany
49.64,8.48,Bürstadt,Hesse,Germany
49.52,11.38,Leuzenberg,Bavaria,Germany
50.84,4.37,Brussels,Brussels-Capital,Belgium
49.62,11,Bubenreuth,Bavaria,Germany
49.44,11.09,Nuremberg,Bavaria,Germany
49.33,10.8,Heilsbronn,Bavaria,Germany
56.94,24.07,Riga,Riga,Latvia
52.54,13.38,Berlin,Berlin,Germany
52.38,10.53,Meine,Lower Saxony,Germany
46.07,11.13,Trento,Trentino – Alto Adige/Südtirol,Italy
52.39,13.1,Potsdam,Brandenburg,Germany
49.58,11.02,Erlangen,Bavaria,Germany
37.47,-4.44,Cabra,Andalusia,Spain
53.53,10.02,Hamburg,Hamburg,Germany
55.83,-4.25,Glasgow,Scotland,United Kingdom
52.37,9.74,Hanover,Lower Saxony,Germany
51.97,7.58,Münster,North Rhine-Westphalia,Germany
50.13,8.68,Frankfurt,Hesse,Germany
51.75,6.51,Hamminkeln,North Rhine-Westphalia,Germany
51.13,6.95,Langenfeld (Rheinland),North Rhine-Westphalia,Germany
51.53,9.84,Göttingen,Lower Saxony,Germany
52.31,10.23,Peine,Lower Saxony,Germany
52.52,13.37,Berlin,Berlin,Germany
50.74,7.12,Bonn,North Rhine-Westphalia,Germany
49.23,7.01,Saarbrücken,Saarland,Germany
48.11,11.7,Munich,Bavaria,Germany
52.82,12.08,Havelberg,Saxony-Anhalt,Germany
51.43,6.75,Duisburg,North Rhine-Westphalia,Germany
52.48,-1.89,Birmingham,England,United Kingdom
50.69,2.13,Elnes,Hauts-de-France,France
47.61,12.9,Ramsau bei Berchtesgaden,Bavaria,Germany
46.07,13.23,Udine,Friuli – Venezia Giulia,Italy
52.33,12.66,Grebs,Brandenburg,Germany
51.51,7.23,Bochum,North Rhine-Westphalia,Germany
53.5,-2.27,Salford,England,United Kingdom
51.2,6.22,Niederkrüchten,North Rhine-Westphalia,Germany
54.31,9.64,Rendsburg-West,Schleswig-Holstein,Germany
50.99,6.94,Cologne,North Rhine-Westphalia,Germany
50.05,8.57,Frankfurt,Hesse,Germany
51.56,6.78,Oberlohberg,North Rhine-Westphalia,Germany
51.06,6.96,Leverkusen,North Rhine-Westphalia,Germany
52.61,13.91,Altlandsberg,Brandenburg,Germany
51.34,6.85,Lintorf/Breitscheid,North Rhine-Westphalia,Germany
49.52,8.67,Weinheim,Baden-Württemberg,Germany
50.14,8.61,Frankfurt,Hesse,Germany
48.12,7.86,Emmendingen,Baden-Württemberg,Germany
49.85,7.84,Bad Kreuznach,Rhineland-Palatinate,Germany
51.56,6.74,Innenstadt,North Rhine-Westphalia,Germany
51.8,8.84,Schlangen,North Rhine-Westphalia,Germany
49.48,8.26,Birkenheide,Rhineland-Palatinate,Germany
50.91,7.01,Cologne,North Rhine-Westphalia,Germany
50.91,6.95,Cologne,North Rhine-Westphalia,Germany
48.53,11.8,Aiglsdorf,Bavaria,Germany
51.49,7.51,Dortmund,North Rhine-Westphalia,Germany
49.87,8.66,Darmstadt,Hesse,Germany
51.3,6.86,Mitte,North Rhine-Westphalia,Germany
49.44,11.87,Raigering,Bavaria,Germany
47.09,15.42,Graz,Styria,Austria
48.38,-2.68,Hénon,Brittany,France
51.34,12.41,Leipzig,Saxony,Germany
49.92,11.85,Ahornberg,Bavaria,Germany
49.33,11.03,Schwabach,Bavaria,Germany
50.14,7.18,Cond,Rhineland-Palatinate,Germany
51.05,13.68,Dresden,Saxony,Germany
51.54,6.81,Oberhausen,North Rhine-Westphalia,Germany
49.94,11.58,City,Bavaria,Germany
35.98,-95.82,Broken Arrow,Oklahoma,United States
51.73,10.24,Osterode am Harz,Lower Saxony,Germany
52.16,9.93,Hildesheim,Lower Saxony,Germany
53.1,9.69,Grauen,Lower Saxony,Germany
51.29,9.47,Kassel,Hesse,Germany
49.98,8.31,Mainz,Rhineland-Palatinate,Germany
51.39,7.77,Hemer,North Rhine-Westphalia,Germany
53.7,10,Norderstedt,Schleswig-Holstein,Germany
48.08,11.72,Putzbrunn,Bavaria,Germany
51.74,6.5,Hamminkeln,North Rhine-Westphalia,Germany
49.25,7.02,Saarbrücken,Saarland,Germany
51.11,6.13,Wassenberg,North Rhine-Westphalia,Germany
51.39,7.51,Hagen,North Rhine-Westphalia,Germany
48.16,11.54,Munich,Bavaria,Germany
51.07,4.4,Willebroek,Antwerp,Belgium
50.52,7.32,Bad Hönningen,Rhineland-Palatinate,Germany
51.08,6.32,Erkelenz,North Rhine-Westphalia,Germany
50.8,8,Salchendorf,North Rhine-Westphalia,Germany
48.15,11.55,Munich,Bavaria,Germany
50.83,4.36,Brussels,Brussels-Capital,Belgium
50.87,6.43,Schophoven,North Rhine-Westphalia,Germany
51.48,7.78,Fröndenberg/Ruhr,North Rhine-Westphalia,Germany
51.37,12.33,Leipzig,Saxony,Germany
48.21,16.33,Vienna,Vienna,Austria
53.02,7.85,Friesoythe,Lower Saxony,Germany
49.86,8.24,Hahnheim,Rhineland-Palatinate,Germany
51.32,12.37,Leipzig,Saxony,Germany
