cue,n_corrected,n_raw
Canapé,1,1
Cape,12,9
Carl,4,4
Cello,57,51
Celsius,39,28
Cembalo,6,4
Chaiselongue,3,2
Chance,214,184
Chaos,269,210
Charakter,269,221
Charaktereigenschaft,20,17
Charisma,35,31
Charme,26,23
Chef,560,456
Chemie,688,547
Chemikalien,10,9
Chemiker,6,5
Chicorée,1,1
Chile,27,17
Chili,35,32
China,187,144
Chinakohl,3,3
Chips,45,36
Chloroform,2,2
Chor,110,87
Chorleiter,1,1
Christ,33,24
Christentum,107,94
Christus,38,31
City,37,29
Clown,128,99
Club,68,50
Coca-Cola,1,1
Code,26,19
Cognac,3,3
Cola,77,64
Computer,970,798
Coronavirus,3,3
Couch,138,100
Couchtisch,4,3
Creme,39,39
DDR,260,224
DHL,40,32
DNA,58,50
Dach,198,165
Dachboden,47,38
Dachdecker,11,7
Dachgeschoss,3,2
Dame,92,75
Dampf,71,55
Dampfer,8,6
Dank,33,32
Dankbarkeit,53,45
Darm,40,36
Darstellung,80,69
Dasein,59,38
Date,84,69
Datei,33,29
Daten,225,187
Datum,93,72
Dauer,157,129
Daumen,46,40
Deal,33,23
Debatte,74,65
Decke,147,146
Deckel,62,51
Deckung,8,7
Defekt,25,24
Definition,80,68
Defizit,17,12
Dekoration,51,45
Delfin,11,10
Demenz,57,47
Demokratie,379,330
Demonstration,114,98
Demut,29,22
Denker,40,32
Depression,185,154
Design,93,76
Detail,57,48
Detektiv,126,93
Deutsch,342,338
Deutsche Bahn,41,39
Deutschland,1144,943
Deutschunterricht,72,62
Deutung,22,18
Dezember,35,27
Diagnose,36,31
Diagramm,60,48
Dialekt,101,85
Dialog,74,63
Dicke Bohnen,1,1
Dieb,236,199
Diebstahl,149,127
Diener,66,54
Dienst,64,63
Dienstag,36,30
Dienstleistung,47,41
Dienstleistungen,6,6
Diesel,25,20
Differenz,64,57
Differenzierung,20,15
Diktator,66,55
Diktatur,158,133
Dilemma,21,14
Dill,8,7
Dimension,8,7
Ding,183,161
Dinge,124,106
Diplom,56,46
Direktor,13,10
Dirigent,72,54
Dirndl,66,56
Disco,33,28
Diskriminierung,70,60
Diskurs,22,21
Diskus,9,8
Diskussion,525,432
Dissertation,20,20
Distanz,187,158
Disziplin,131,99
Diversität,33,27
Diwan,1,1
Diät,94,72
Doktor,126,108
Doktorarbeit,37,33
Dokument,138,118
Dokumentation,18,15
Dollar,35,31
Dom,68,57
Dominanz,25,18
Donner,102,89
Donnerstag,41,36
Dorf,165,134
Dortmund,8,7
Dose,80,64
Dosenöffner,4,2
Dozent,37,30
Drachen,21,20
Draisine,0,0
Drama,57,44
Dreck,355,276
Dreh,4,4
Drehbank,6,3
Drehbuch,13,12
Dreher,4,2
Dreieck,83,63
Dreirad,4,4
Dresden,23,21
Dressing,32,24
Drink,22,15
Drittel,5,4
Droge,40,29
Drogen,301,259
Drossel,26,24
Druck,243,243
Drucker,49,43
Dschungel,78,61
Dudelsack,10,7
Duden,116,98
Duft,219,179
Dummheit,94,76
Dummkopf,33,28
Dunkelheit,147,124
Durchführung,40,36
Durchhaltevermögen,53,44
Durchschnitt,86,64
Durst,161,127
Dusche,119,119
Dänemark,34,27
Dübel,33,25
Düsseldorf,21,20
E-Gitarre,9,7
E-Mail,79,77
E-Piano,1,1
EU,117,99
Ebene,71,71
Echtheit,6,5
Eckbank,1,1
Ecke,80,79
Eckschrank,0,0
Effekt,45,40
Effektivität,5,4
Effizienz,42,37
Ego,59,44
Egoismus,58,47
Egoist,24,20
Ehe,375,372
Ehefrau,46,36
Ehemann,78,64
Ehepartner,14,11
Ehering,18,18
Ehre,131,130
Ehrenamt,56,44
Ehrgeiz,131,106
Ehrlichkeit,98,80
Ei,173,138
Eichhörnchen,20,14
Eidechse,4,4
Eier,139,111
Eifer,14,14
Eifersucht,40,33
Eiffelturm,47,44
Eigenart,17,14
Eigeninitiative,12,9
Eigenschaft,161,132
Eigenschaften,39,37
Eigenständigkeit,15,11
Eigentum,157,138
Eile,65,64
Eimer,82,71
Einbruch,51,38
Eindruck,56,49
Einerseits,1,1
Einfall,69,63
Einfluss,89,70
Einfühlsamkeit,5,4
Einführung,25,20
Eingang,138,120
Eingebung,17,14
Einheit,141,112
Einigkeit,45,40
Einigung,65,55
Einkauf,176,146
Einkommen,80,65
Einkäufe,11,10
Einladung,55,46
Einleitung,26,22
Einnahme,16,15
Einrichtung,63,60
Einsamkeit,160,143
Einsatz,57,49
Einschränkung,86,74
Einschränkungen,10,8
Einschätzung,41,37
Einsicht,59,44
Einspruch,9,7
Einstein,93,74
Einstellung,74,66
Einstieg,5,4
Einteilung,38,38
Eintopf,73,61
Eintracht,13,9
Eintritt,32,32
Einverständnis,45,37
Einwanderer,17,15
Einwohner,53,49
Einzelnachweis,0,0
Einzelperson,4,4
Eis,520,412
Eisbär,27,22
Eisen,197,159
Eisenbahn,140,116
Ekel,98,98
Elch,25,21
Elefant,119,97
Eleganz,44,39
Elektriker,39,35
Elektrizität,110,91
Elektronik,58,48
Element,43,37
Elend,43,42
Elite,61,52
Ellenbogen,23,16
Eltern,765,633
Email,115,79
Emotion,169,133
Empathie,255,209
Empfindung,22,20
Empfänger,50,39
Ende,572,570
Endiviensalat,0,0
Energie,290,237
Engagement,99,90
Enge,74,74
Engel,129,103
England,289,221
Englisch,197,195
Engländer,8,6
Enkel,70,55
Enkelin,4,3
Enkelkinder,4,4
Ente,75,66
Entfernung,111,95
Entfremdung,4,3
Entscheidung,371,309
Entscheidungen,48,38
Entschluss,27,24
Entschuldigung,113,98
Entsorgung,12,11
Entspannung,417,365
Entstehung,12,12
Enttäuschung,146,111
Entwicklung,248,208
Entwicklungshilfe,5,4
Entwurf,48,42
Episode,6,5
Epoche,89,77
Erbe,98,98
Erbse,23,19
Erdbeben,40,31
Erde,559,558
Erdöl,25,22
Ereignis,176,141
Erfahrung,212,186
Erfinder,30,28
Erfindung,95,79
Erfolg,593,492
Erfüllung,64,54
Ergebnis,407,340
Erhalt,2,1
Erholung,158,131
Erinnerung,292,235
Erkenntnis,104,83
Erklärung,297,254
Erlaubnis,60,51
Erlebnis,72,62
Erleichterung,124,93
Erleuchtung,34,29
Erläuterung,29,26
Ermittlung,13,12
Erneuerung,32,28
Ernte,111,109
Ernährung,90,80
Erotik,66,51
Errungenschaft,6,4
Ersatz,41,35
Erscheinung,53,45
Ertrag,19,19
Erwachsene,20,20
Erwartung,112,97
Erweiterung,25,18
Erzieher,22,18
Erziehung,232,192
Erzählung,43,38
Eröffnung,7,6
Esel,62,49
Essig,44,35
Esstisch,11,8
Estland,44,37
Ethik,83,72
Eule,52,48
Euro,164,134
Europa,344,289
Euter,26,20
Event,81,72
Evolution,66,56
Ewigkeit,38,32
Examen,30,29
Excel,54,44
Existenz,59,51
Experiment,155,122
Experimente,29,24
Experte,48,43
Explosion,66,54
Export,42,33
FDP,35,27
Fabel,22,17
Facebook,78,58
Fach,45,44
Fachwissen,25,23
Faden,85,85
Fagott,4,2
Fahne,85,74
Fahrbahn,7,7
Fahrer,36,31
Fahrrad,511,417
Fahrradfahren,8,5
Fahrstuhl,38,34
Fahrt,37,36
Fahrzeug,152,129
Fairness,50,41
Fakt,77,69
Fakten,110,90
Faktor,19,18
Fall,126,101
Falle,38,38
Fallschirm,16,11
Familie,1865,1540
Familienangehörige,1,1
Familienfrieden,0,0
Familienglück,0,0
Familienleben,0,0
Familienmitglieder,1,1
Familienzusammenhalt,0,0
Family,1,1
Fan,19,17
Fanfare,4,4
Fang,6,5
Fanta,24,16
Fantasie,138,110
Farbe,758,614
Farben,281,230
Fasching,78,62
Faulheit,69,55
Faust,86,70
Fazit,60,46
Februar,37,35
Feder,95,95
Fee,31,26
Fehler,562,478
Feier,230,229
Feierabend,87,74
Feiertag,40,34
Feiertage,9,8
Feile,7,7
Feind,70,70
Feld,319,262
Fell,179,142
Felsen,44,38
Fenchel,2,1
Fenster,362,297
Ferien,409,337
Ferne,99,99
Fernglas,54,46
Fernrohr,9,7
Fernsehen,390,369
Fernseher,190,155
Fernsehsessel,0,0
Fernsehtisch,0,0
Fernweh,43,37
Ferse,7,5
Fest,218,217
Festland,1,0
Feucht,11,11
Feuer,627,619
Feuerwehr,126,110
Feuilleton,8,6
Fieber,83,73
Figur,99,80
Film,925,737
Finale,14,14
Finanzamt,63,51
Finanzen,122,106
Finanzierung,11,9
Finger,290,234
Fingerabdruck,12,12
Fingernagel,16,14
Fink,39,26
Finnland,37,29
Finsternis,9,5
Firma,345,293
Fisch,384,291
Fischer,30,24
Fitness,96,72
Flagge,101,99
Flamme,44,43
Flasche,142,118
Flecken,71,55
Fleisch,407,331
Fleischer,15,14
Fleiß,102,55
Fliege,56,55
Fliesen,26,22
Fließband,26,19
Floskel,18,16
Flotte,1,1
Floß,7,6
Flucht,165,163
Flug,47,36
Flughafen,102,86
Flugzeug,371,301
Flur,62,49
Fluss,703,524
Flut,54,40
Fläche,91,78
Flöte,50,48
Flüchtling,59,42
Flüchtlinge,94,77
Flügel,91,74
Flüssigkeit,85,67
Folge,124,124
Folter,35,35
Forderung,33,31
Form,137,115
Formeln,26,25
Formular,94,82
Formulierung,10,7
Forscher,48,48
Forschung,352,303
Fortbewegung,50,49
Fortbewegungsmittel,25,23
Fortbildung,40,36
Fortschritt,266,231
Foto,243,205
Fotografie,49,39
Fotos,117,98
Frack,30,24
Frage,257,256
Fragewort,4,4
Fragezeichen,75,60
Fraktion,8,7
Frank,2,0
Franken,25,21
Frankfurt,154,128
Frankfurter,6,5
Frankreich,346,298
Franz,40,30
Frau,1222,995
Frauen,316,261
Freibad,34,28
Freiheit,796,675
Freiheitsstatue,28,26
Freitag,35,25
Freizeit,474,406
Freizeitgestaltung,2,2
Fremde,48,47
Fremdsprache,115,95
Fremdwörter,8,6
Freud,50,43
Freude,1453,1184
Freund,463,457
Freunde,1369,1091
Freundeskreis,14,13
Freundin,188,147
Freundlichkeit,77,68
Freundschaft,520,440
Friede,40,32
Frieden,286,239
Friedhof,120,102
Friedrich,18,15
Friseur,77,65
Frist,32,30
Frisur,122,98
Frisör,17,16
Fritz,21,16
Frosch,54,41
Frost,30,24
Frucht,231,188
Frust,53,44
Fräse,0,0
Fräulein,12,11
Frühjahr,16,15
Frühling,351,278
Frühstück,211,172
Fuchs,102,84
Fuchsschwanz,5,3
Fundament,38,35
Funk,16,13
Funke,6,6
Funktion,46,37
Furcht,73,60
Futter,45,45
Fuß,331,181
Fußball,1061,539
Fußbank,0,0
Fußboden,21,17
Fußgänger,37,22
Fußgängerüberweg,5,4
Fächer,16,16
Fähigkeit,121,103
Fähre,28,26
Fälschung,39,33
Förderung,27,24
Führer,54,44
Führerschein,77,62
Führung,97,79
Fülle,30,29
Füller,68,55
Fürsorge,97,77
Füße,107,65
Gabe,59,46
Gabel,110,108
Galerie,19,17
Galle,9,7
Gambe,1,1
Gang,77,64
Gans,42,37
Ganzes,51,50
Garderobe,35,27
Garderobenhaken,0,0
Gardine,18,14
Garten,698,561
Gartenstuhl,1,1
Gas,98,78
Gasse,32,26
Gast,83,65
Gauner,29,23
Gauß,6,5
Gebet,44,38
Gebiet,97,78
Gebirge,97,80
Geborgenheit,256,208
Gebot,25,24
Gebrauch,69,57
Gebräuche,7,6
Geburt,189,155
Geburtsland,2,1
Geburtstag,529,456
Geburtstage,10,8
Gebäck,57,52
Gebäude,269,230
Gedanke,137,122
Gedanken,317,266
Gedankengut,1,1
Gedenken,9,8
Gedicht,151,119
Geduld,136,104
Gedächtnis,141,111
Gefahr,758,620
Gefährte,14,13
Gefängnis,550,431
Gefäß,53,30
Gefühl,609,495
Gefühle,245,200
Gegend,35,30
Gegenleistung,7,5
Gegensatz,45,39
Gegenstand,203,173
Gegensätze,10,9
Gegenteil,66,51
Gegenwart,73,64
Gegenwehr,7,7
Gegner,98,84
Gehalt,184,153
Geheimnis,263,214
Gehhilfe,20,17
Gehirn,350,277
Gehorsam,46,45
Geige,237,234
Geist,264,220
Geiz,33,32
Gelassenheit,48,37
Geld,4596,3739
Geldmittel,3,3
Geldsegen,0,0
Gelegenheit,49,41
Gelenk,78,61
Gelenke,11,9
Gelächter,8,5
Gelände,19,18
Gemeinde,89,75
Gemeinderat,9,8
Gemeinschaft,484,408
Gemälde,144,119
Gemüse,1167,922
Gemütlichkeit,95,79
Genauigkeit,130,111
Gene,43,35
General,23,19
Generation,36,28
Genetik,49,45
Genick,0,0
Genie,70,59
Gentleman,31,27
Genuss,161,115
Geometrie,168,142
Georg,13,12
Gepard,16,15
Gerechtigkeit,234,198
Gerede,22,19
Gerhard,14,13
Gericht,1021,877
Gerste,18,13
Geruch,375,296
Gerät,101,99
Geräusch,149,115
Gerüst,48,42
Gesamtheit,25,23
Gesang,132,105
Geschehnis,14,10
Geschenk,564,456
Geschichte,774,651
Geschirr,163,133
Geschirrschrank,0,0
Geschlecht,155,133
Geschmack,193,149
Geschrei,32,26
Geschwafel,6,5
Geschwindigkeit,161,125
Geschwister,125,106
Geschäftsführer,4,4
Geselligkeit,51,46
Gesellschaft,489,406
Gesetz,496,408
Gesetze,98,82
Gesetzgeber,3,3
Gesicht,442,367
Gespenst,67,59
Gespräch,406,345
Gestalt,20,19
Gestaltung,21,18
Gestank,243,195
Geste,30,23
Gesundheit,514,430
Getreide,239,197
Getränk,264,214
Gewalt,595,498
Gewehr,159,133
Geweih,63,54
Gewerkschaft,68,53
Gewicht,290,231
Gewinn,390,323
Gewinner,110,97
Gewissen,67,67
Gewissensbisse,4,3
Gewitter,157,134
Gewohnheit,66,55
Gewürz,140,109
Gier,68,68
Gift,117,89
Gin,11,9
Gipfel,43,41
Giraffe,22,20
Gitarre,217,168
Gitter,77,65
Glanz,62,53
Glas,591,466
Glatze,55,47
Glaube,324,319
Gleichberechtigung,49,46
Gleichgewicht,94,70
Gleichheit,94,79
Gliederung,30,25
Glitzer,57,45
Global,6,6
Globus,49,45
Glocke,56,42
Glockenspiel,3,3
Glut,30,24
Glück,795,630
Glückwunsch,7,6
Glühbirne,70,58
Goethe,136,115
Gokart,0,0
Gold,515,346
Google,47,45
Gorilla,19,11
Gott,631,535
Gottesdienst,34,33
Grab,83,63
Grad,74,53
Graf,37,31
Grafik,42,39
Grammatik,262,213
Gras,205,164
Graz,2,2
Grenze,327,325
Grenzen,98,97
Griechenland,144,121
Griff,34,34
Grippe,40,33
Großbritannien,55,38
Großeltern,206,100
Großmutter,111,37
Großstadt,112,87
Großvater,59,27
Grube,32,24
Grund,290,240
Grundgesetz,50,43
Grundlage,98,85
Grundschule,71,59
Grundstück,34,25
Gruppe,675,567
Gruppenzwang,11,10
Grönland,1,1
Größe,211,141
Gründung,4,4
Grüne,26,26
Grüner Salat,0,0
Grünkohl,32,23
Gummi,88,74
Gurke,59,50
Gymnasium,65,54
Gärtner,7,5
Göttingen,8,7
Gürtel,40,30
Güte,38,30
HIV,19,16
Haar,99,83
Haare,717,583
Hafen,93,74
Hafer,34,27
Haft,34,27
Haftung,11,9
Hahn,60,50
Hai,22,12
Haken,39,38
Halle,41,40
Halloween,107,90
Hals,174,134
Halstuch,11,9
Haltbarkeit,15,10
Haltung,88,74
Hamburg,82,68
Hamburger,9,7
Hammer,358,277
Hammondorgel,0,0
Hand,471,393
Handbuch,9,8
Handel,140,139
Handfläche,4,4
Handlung,97,84
Handschlag,52,45
Handschrift,24,19
Handschuh,20,14
Handschuhe,33,27
Handtuch,57,44
Handwerk,423,345
Handwerker,363,295
Handy,331,249
Hannover,30,25
Hans,45,42
Hardware,27,24
Harfe,21,15
Harke,10,10
Harmonie,125,102
Harmonium,0,0
Harry Potter,90,75
Hase,162,134
Hass,149,111
Haufen,37,30
Hauptstadt,157,135
Haus,1471,1178
Hausarbeit,94,80
Hausaufgaben,87,75
Hausbau,57,45
Hause,10,10
Hausfrau,24,20
Haushalt,103,88
Haustier,89,69
Haustür,41,35
Haut,244,243
Hebel,12,12
Hecht,1,1
Heft,68,55
Heidelberg,28,24
