GENESIS-Tabelle: 12411-0013
Bevölkerung: Bundesländer, Stichtag, Geschlecht, Altersjahre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Baden-Württemberg;Baden-Württemberg;Baden-Württemberg;Bayern;Bayern;Bayern;Berlin;Berlin;Berlin;Brandenburg;Brandenburg;Brandenburg;Bremen;Bremen;Bremen;Hamburg;Hamburg;Hamburg;Hessen;Hessen;Hessen;Mecklenburg-Vorpommern;Mecklenburg-Vorpommern;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen;Niedersachsen;Nordrhein-Westfalen;Nordrhein-Westfalen;Nordrhein-Westfalen;Rheinland-Pfalz;Rheinland-Pfalz;Rheinland-Pfalz;Saarland;Saarland;Saarland;Sachsen;Sachsen;Sachsen;Sachsen-Anhalt;Sachsen-Anhalt;Sachsen-Anhalt;Schleswig-Holstein;Schleswig-Holstein;Schleswig-Holstein;Thüringen;Thüringen;Thüringen
;;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt
31.12.2023;43-Jährige;73664;73300;146964;87506;87754;175260;27536;26564;54100;18487;17679;36166;4352;4280;8632;13429;13908;27337;41297;42363;83660;11190;10555;21745;48736;50364;99100;111473;115164;226637;25492;25872;51364;6078;5924;12002;28948;26375;55323;14643;13362;28005;17804;18900;36704;14882;13492;28374
31.12.2023;44-Jährige;68835;69499;138334;83458;84007;167465;25436;24917;50353;17747;16755;34502;4176;3934;8110;12702;13006;25708;39531;40942;80473;11073;10104;21177;46672;47888;94560;104874;109474;214348;24629;24650;49279;5568;5845;11413;27965;24979;52944;14040;12640;26680;16913;17898;34811;14257;12813;27070
31.12.2023;45-Jährige;67255;67590;134845;81951;83062;165013;24459;23748;48207;17461;16802;34263;4104;4001;8105;12563;12564;25127;38912;40194;79106;10863;9940;20803;46516;47294;93810;103470;107681;211151;24221;24247;48468;5262;5621;10883;27642;25083;52725;13827;12629;26456;17064;17669;34733;13732;12435;26167
31.12.2023;46-Jährige;66485;66979;133464;81337;81661;162998;23573;23232;46805;16875;16094;32969;3930;3995;7925;12280;12373;24653;38072;39813;77885;10645;9547;20192;46002;47024;93026;104000;106974;210974;23600;24295;47895;5466;5688;11154;26947;24398;51345;13272;12086;25358;16729;17646;34375;13505;12262;25767
31.12.2023;47-Jährige;66980;66890;133870;80201;81091;161292;22330;22422;44752;15343;14575;29918;3969;3936;7905;12096;12417;24513;38106;39633;77739;9258;8434;17692;45804;47146;92950;103383;107844;211227;23380;23688;47068;5230;5310;10540;23975;21976;45951;11901;10883;22784;16700;17760;34460;12030;11067;23097
31.12.2023;48-Jährige;65157;66031;131188;78615;79682;158297;21559;21226;42785;14556;13699;28255;3929;3920;7849;11610;11675;23285;37231;38294;75525;8830;7983;16813;44845;45782;90627;100894;104645;205539;22759;23363;46122;5170;5195;10365;22979;20751;43730;11450;10248;21698;16438;17260;33698;11614;10493;22107
31.12.2023;49-Jährige;66105;67569;133674;79441;80782;160223;20892;20753;41645;13945;13564;27509;3852;3778;7630;11690;11567;23257;37917;38869;76786;8565;7859;16424;45641;47333;92974;101505;106435;207940;22771;23662;46433;5179;5363;10542;22730;20326;43056;11548;10718;22266;16455;17191;33646;11934;10833;22767
31.12.2023;50-Jährige;65641;66945;132586;78880;80228;159108;20095;20341;40436;14165;13719;27884;3822;3926;7748;11225;11587;22812;37869;38878;76747;8710;8121;16831;46244;48197;94441;102568;106998;209566;23239;23889;47128;5201;5357;10558;22817;20443;43260;12026;10968;22994;16784;17584;34368;12266;11248;23514
31.12.2023;51-Jährige;70703;71791;142494;84505;85984;170489;21101;20895;41996;15784;14910;30694;4029;4142;8171;11739;11810;23549;40232;41366;81598;9390;8894;18284;50698;51905;102603;110711;114627;225338;24982;26127;51109;5698;5936;11634;24960;22260;47220;13633;12611;26244;18221;19111;37332;13929;12353;26282
31.12.2023;52-Jährige;75901;76270;152171;91018;92228;183246;23097;22672;45769;18245;17452;35697;4287;4366;8653;12381;12422;24803;43329;44296;87625;10848;10177;21025;55258;57091;112349;120519;124792;245311;27343;28219;55562;6232;6567;12799;28762;25849;54611;16077;14738;30815;20431;21374;41805;15399;13888;29287
